Cafe_Name,City,Rating,Price_for_Two,Specialty,Opening_Hours
"Rodriguez, Figueroa and Sanchez",Lake Curtis,4.7,1062,Cold Brew,7AM - 11PM
"Mcclain, Miller and Henderson",North Jefferyhaven,4.9,900,Latte,10AM - 11PM
"Johnson, Gonzalez and Santos",Robinsonshire,4.9,1124,Mocha,9AM - 7PM
Pacheco-Smith,Lake Roberto,3.0,1051,Latte,9AM - 7PM
Moore-Bernard,Curtisfurt,4.4,928,Espresso,10AM - 11PM
Howard LLC,Lindsaymouth,4.6,1108,Espresso,8AM - 8PM
"Martinez, Nielsen and Miller",Mariastad,3.3,1078,Latte,9AM - 9PM
"Lee, Jones and Stanley",Traciebury,4.0,728,Cold Brew,9AM - 8PM
James Group,Franciscostad,4.0,542,Espresso,8AM - 10PM
Santiago Ltd,New Cynthiaside,3.7,427,Cold Brew,8AM - 11PM
"Sanchez, Ford and Nelson",Lake Mark,3.5,363,Latte,10AM - 10PM
Perez Inc,Richardland,4.7,724,Cappuccino,9AM - 10PM
Gentry PLC,Jasonfort,4.1,905,Mocha,8AM - 8PM
Wilkerson-Day,West Donald,4.2,426,Espresso,8AM - 10PM
"Hoffman, Baker and Richards",Coxberg,3.9,1200,Mocha,8AM - 8PM
"Snyder, Campos and Callahan",Lake Ernest,4.9,597,Cold Brew,7AM - 7PM
"Henderson, Brown and James",Riceside,3.8,605,Espresso,10AM - 8PM
Frazier Inc,Kaylamouth,4.9,650,Cappuccino,9AM - 9PM
Carter and Sons,Smithview,3.3,735,Latte,9AM - 7PM
"Gill, Romero and Rodriguez",Meaganhaven,4.4,805,Mocha,8AM - 11PM
"Gonzalez, Brooks and Martin",New Mariotown,4.1,522,Mocha,7AM - 11PM
Hickman LLC,North John,4.0,514,Mocha,7AM - 11PM
"Arroyo, Miller and Tucker",Port Amandaberg,3.7,807,Cold Brew,8AM - 9PM
Keller PLC,West Allison,3.6,940,Espresso,9AM - 10PM
"Henderson, Lewis and Ryan",Lake Larry,3.4,596,Mocha,9AM - 8PM
"Santos, Kim and Holmes",East Jeffreymouth,3.4,869,Cold Brew,7AM - 10PM
Chapman and Sons,North Chad,3.2,719,Espresso,10AM - 10PM
"Brown, Jones and Johnson",Chadbury,4.3,957,Cold Brew,7AM - 11PM
Caldwell-Lewis,Lake Selena,3.1,833,Cappuccino,8AM - 11PM
"Johnston, Sanchez and Kennedy",Leeville,4.4,386,Mocha,9AM - 7PM
"Jordan, Henderson and Owens",Lake Deniseville,3.7,800,Cappuccino,7AM - 11PM
Powell LLC,East Jamesside,3.3,1166,Latte,8AM - 7PM
Taylor-White,Wrightland,4.0,1087,Cold Brew,7AM - 10PM
Morton-Chase,North Deniseside,3.1,825,Espresso,10AM - 9PM
Novak and Sons,South Todd,5.0,1153,Mocha,10AM - 11PM
Hancock Inc,South Aaron,3.1,531,Cold Brew,8AM - 8PM
Baker-Bowers,Mitchellside,3.0,881,Cold Brew,8AM - 9PM
"Higgins, Moore and Phillips",New Jillton,4.2,468,Latte,7AM - 9PM
"Edwards, Williams and Woods",North Susan,4.4,595,Cold Brew,8AM - 11PM
York Inc,Lake Michellefurt,4.9,931,Cappuccino,10AM - 11PM
David PLC,New Brooke,4.8,210,Cappuccino,10AM - 8PM
"Miller, Sandoval and Cunningham",Sarahborough,4.9,1093,Cold Brew,8AM - 11PM
"Moran, Allen and Foster",Stephenland,4.7,865,Espresso,7AM - 11PM
Ellis PLC,North Amandahaven,4.7,471,Cappuccino,9AM - 11PM
Anderson-Bailey,East Mikeburgh,3.7,949,Cappuccino,9AM - 8PM
Bass-Warner,Lake Lisaport,4.7,476,Espresso,10AM - 9PM
"Garcia, Humphrey and Baker",Lake Angelaview,3.4,898,Espresso,8AM - 7PM
Jacobs-Robbins,Lake Cynthia,4.5,473,Mocha,9AM - 9PM
Wagner-King,North Cynthiaview,3.0,604,Cold Brew,7AM - 9PM
Smith and Sons,Evanmouth,3.3,756,Latte,7AM - 8PM
"Thornton, Hoffman and Rodriguez",New Barry,3.7,1085,Cold Brew,10AM - 11PM
Aguilar-Hernandez,North Kyle,4.2,877,Espresso,9AM - 11PM
Nolan and Sons,Lake Curtis,3.5,280,Mocha,10AM - 7PM
"Henson, Russell and Oliver",East Michelle,4.7,906,Cold Brew,10AM - 11PM
Keith Inc,Lake Sandra,4.6,290,Espresso,9AM - 9PM
Pham-Shields,West Erik,4.3,787,Latte,7AM - 11PM
"Rodriguez, Brennan and Garrison",East Lisa,4.8,1020,Cappuccino,8AM - 7PM
Bailey-Hoover,East Andrew,3.3,1164,Cappuccino,10AM - 9PM
Ross LLC,Port Joshuahaven,3.5,1141,Cappuccino,10AM - 11PM
Frazier-Anthony,Sheilaville,4.8,941,Espresso,8AM - 7PM
White-Estes,Benjaminchester,4.7,912,Mocha,10AM - 7PM
Chandler-Edwards,South Rachelborough,4.8,1029,Cappuccino,10AM - 9PM
Williams-Graham,West Ryan,3.8,605,Cold Brew,10AM - 11PM
"Mccall, Hanson and Alvarado",Lake Rachelhaven,5.0,616,Mocha,7AM - 11PM
Estrada-Nguyen,Angelaborough,4.5,1160,Latte,9AM - 9PM
Ortega-Gray,New Ashley,3.6,429,Espresso,9AM - 9PM
Kelley-Smith,Jasonshire,4.5,1041,Espresso,9AM - 10PM
"Pena, Marshall and Ramos",New Thomas,3.2,515,Mocha,10AM - 10PM
"Jackson, Miller and Robertson",Clarencebury,3.1,475,Cold Brew,7AM - 8PM
"Collins, Drake and Hernandez",East Traceyland,3.5,786,Mocha,7AM - 10PM
Perry-Soto,Lake Heather,4.2,732,Espresso,10AM - 8PM
Ross-Hernandez,Port Michelleville,3.5,883,Cappuccino,8AM - 11PM
Robinson-Brock,Williamsbury,4.1,1151,Espresso,8AM - 9PM
Bryant Group,Stephaniemouth,3.6,1048,Espresso,10AM - 7PM
"Briggs, Mcclain and Simmons",Merrittfort,4.9,832,Espresso,7AM - 8PM
Green-Wright,Katiehaven,4.4,372,Mocha,7AM - 10PM
Sims-Hill,Lake Justinview,3.5,825,Mocha,9AM - 10PM
Flores-Fernandez,East Jesse,4.4,636,Cappuccino,10AM - 7PM
"Hernandez, Lewis and Perry",Amychester,4.6,594,Cold Brew,10AM - 8PM
Clark Group,Steinshire,4.3,421,Cold Brew,7AM - 11PM
"Smith, Gilmore and Johnston",Smithstad,3.8,248,Latte,10AM - 11PM
Molina-Castaneda,Medinaside,4.9,953,Latte,10AM - 8PM
"Hurst, Freeman and Nelson",Johnsonmouth,3.5,294,Latte,9AM - 10PM
"Shelton, Powell and Martin",Calhounside,3.7,372,Mocha,7AM - 9PM
Meadows PLC,North Dawnberg,4.7,1062,Cold Brew,9AM - 8PM
White-Green,Jasonmouth,4.2,904,Cold Brew,8AM - 8PM
Juarez-Gray,Kingland,4.0,211,Espresso,10AM - 9PM
Smith-Ryan,Jeffreyland,4.9,234,Cappuccino,8AM - 10PM
"Williams, Johnson and Wright",New Elijahberg,3.8,785,Cappuccino,8AM - 7PM
Caldwell-Elliott,South Holly,4.6,747,Espresso,10AM - 8PM
Jackson-Lawson,Port Loriport,3.3,1180,Cappuccino,7AM - 9PM
Lane LLC,Sandersborough,4.0,716,Cappuccino,10AM - 8PM
Vargas Ltd,North Heidi,3.0,1007,Latte,9AM - 11PM
Jefferson-Burke,Port Tonyaton,3.2,1103,Cappuccino,8AM - 7PM
Patel-Stanley,New Deborahtown,4.6,872,Cappuccino,9AM - 7PM
Short-Garcia,Cynthiamouth,4.2,502,Cold Brew,10AM - 9PM
"Hernandez, Thompson and Boyd",Christinaside,5.0,908,Cold Brew,7AM - 9PM
Marshall-Petersen,Marcusbury,3.8,612,Cold Brew,7AM - 8PM
Ramirez Group,Port Steven,3.8,370,Latte,9AM - 10PM
"Barnett, Rogers and Snyder",Hunterborough,3.3,618,Cappuccino,10AM - 7PM
